episode,total_episodes,reward_mean,reward_std,handovers_mean,handovers_std,loss
10,1700,-1267.21,783.95,34.2,43.1,12.5324
20,1700,-664.31,704.92,59.2,50.0,20.0315
30,1700,-624.98,587.04,63.9,49.3,39.5092
40,1700,-1288.99,983.66,45.7,46.7,46.5576
50,1700,-534.44,422.49,56.7,35.4,49.6453
60,1700,-904.53,923.95,64.1,64.7,52.7154
70,1700,-1347.92,1072.6,47.2,52.6,12.7184
80,1700,-627.15,515.48,67.7,35.5,54.2553
90,1700,-1219.26,1012.37,50.9,61.5,42.4265
100,1700,-1207.11,1005.83,46.5,52.9,15.06
110,1700,-661.3,746.53,80.8,48.7,38.4399
120,1700,-975.23,773.41,49.3,46.7,36.913
130,1700,-1177.91,941.86,43.1,50.9,19.3986
140,1700,-568.4,783.64,89.1,56.1,9.0411
150,1700,-711.17,570.06,62.6,48.4,13.5694
160,1700,-1168.29,785.14,30.1,39.9,13.4585
170,1700,-565.64,753.3,78.7,53.4,3.0168
180,1700,-709.18,622.07,60.8,56.9,6.4899
190,1700,-1208.78,807.33,25.7,26.6,11.774
200,1700,-395.86,351.79,75.7,48.6,6.3626
210,1700,-543.51,772.91,44.2,41.8,9.2036
220,1700,-1086.8,986.66,29.1,32.5,5.5705
230,1700,-378.82,345.64,65.3,41.8,6.9216
240,1700,-658.1,792.94,45.8,43.0,15.7118
250,1700,-934.45,886.17,36.8,38.1,7.307
260,1700,-520.26,642.93,57.3,35.9,6.4551
270,1700,-823.15,682.81,40.7,44.6,8.3236
280,1700,-600.89,494.4,40.5,41.1,3.8622
290,1700,-434.38,617.25,60.1,38.7,1.9827
300,1700,-850.55,596.31,44.4,45.3,1.942
310,1700,-900.19,673.57,31.1,33.3,1.3815
320,1700,-402.47,589.12,61.6,39.4,2.0183
330,1700,-671.81,752.14,44.2,40.6,2.1009
340,1700,-1239.58,604.94,11.4,14.9,1.1959
350,1700,-370.03,443.46,57.0,40.2,3.1243
360,1700,-652.11,773.32,36.4,30.6,1.6271
370,1700,-1245.77,686.24,16.9,24.6,1.7549
380,1700,-442.81,600.79,54.3,38.8,1.2172
390,1700,-534.09,741.19,33.4,26.1,1.0685
400,1700,-977.61,815.17,26.0,27.8,1.658
410,1700,-288.64,372.51,52.3,36.3,1.19
